=== Testing mode: linear ===

Instance 1:
Nodes: 50, Edges: 200, Exec Time: 11.7762 sec,  PoA: 1.003, Equilibrium Iterations: 18, Social Optimality Iterations: 25
Nodes: 60, Edges: 240, Exec Time: 15.9856 sec,  PoA: 1.014, Equilibrium Iterations: 17, Social Optimality Iterations: 19
Nodes: 70, Edges: 280, Exec Time: 34.9535 sec,  PoA: 1.003, Equilibrium Iterations: 18, Social Optimality Iterations: 39
Nodes: 80, Edges: 320, Exec Time: 29.2454 sec,  PoA: 1.022, Equilibrium Iterations: 14, Social Optimality Iterations: 19
Nodes: 90, Edges: 360, Exec Time: 18.9418 sec,  PoA: 1.027, Equilibrium Iterations: 15, Social Optimality Iterations: 17
Nodes: 100, Edges: 400, Exec Time: 28.4290 sec,  PoA: 1.031, Equilibrium Iterations: 15, Social Optimality Iterations: 22

Instance 2:
Nodes: 10, Edges: 40, Exec Time: 0.2432 sec,  PoA: 1.003, Equilibrium Iterations: 12, Social Optimality Iterations: 19
Nodes: 20, Edges: 80, Exec Time: 0.7758 sec,  PoA: 1.011, Equilibrium Iterations: 12, Social Optimality Iterations: 21
Nodes: 30, Edges: 120, Exec Time: 1.4056 sec,  PoA: 1.025, Equilibrium Iterations: 12, Social Optimality Iterations: 16
Nodes: 40, Edges: 160, Exec Time: 2.9239 sec,  PoA: 1.003, Equilibrium Iterations: 15, Social Optimality Iterations: 18
Nodes: 50, Edges: 200, Exec Time: 4.6712 sec,  PoA: 1.003, Equilibrium Iterations: 13, Social Optimality Iterations: 19
Nodes: 60, Edges: 240, Exec Time: 7.6101 sec,  PoA: 1.012, Equilibrium Iterations: 15, Social Optimality Iterations: 18
Nodes: 70, Edges: 280, Exec Time: 3.1532 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None
Nodes: 80, Edges: 320, Exec Time: 29.6315 sec,  PoA: 1.018, Equilibrium Iterations: 13, Social Optimality Iterations: 20
Nodes: 90, Edges: 360, Exec Time: 40.0597 sec,  PoA: 1.017, Equilibrium Iterations: 15, Social Optimality Iterations: 18
Nodes: 100, Edges: 400, Exec Time: 56.0886 sec,  PoA: 1.009, Equilibrium Iterations: 16, Social Optimality Iterations: 21

Instance 3:
Nodes: 10, Edges: 40, Exec Time: 0.3798 sec,  PoA: 1.003, Equilibrium Iterations: 13, Social Optimality Iterations: 15
Nodes: 20, Edges: 80, Exec Time: 0.6070 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None
Nodes: 30, Edges: 120, Exec Time: 3.4809 sec,  PoA: 1.01, Equilibrium Iterations: 16, Social Optimality Iterations: 20
Nodes: 40, Edges: 160, Exec Time: 5.3562 sec,  PoA: 1.016, Equilibrium Iterations: 16, Social Optimality Iterations: 19
Nodes: 50, Edges: 200, Exec Time: 8.1328 sec,  PoA: 1.01, Equilibrium Iterations: 13, Social Optimality Iterations: 20
Nodes: 60, Edges: 240, Exec Time: 12.5847 sec,  PoA: 1.014, Equilibrium Iterations: 15, Social Optimality Iterations: 19
Nodes: 70, Edges: 280, Exec Time: 47.4947 sec,  PoA: 1.001, Equilibrium Iterations: 30, Social Optimality Iterations: 46
Nodes: 80, Edges: 320, Exec Time: 39.9679 sec,  PoA: 1.014, Equilibrium Iterations: 18, Social Optimality Iterations: 25
Nodes: 90, Edges: 360, Exec Time: 38.5193 sec,  PoA: 1.012, Equilibrium Iterations: 15, Social Optimality Iterations: 21
